episode_number_overall,season,episode_number_in_season,Title,Directed by,Written by,original_air_date,english_air_date,rating,votes,description
1,1,1,"""Homecoming""Transcription: ""Kikyō"" (Japanese: 帰郷)",Masaaki Kumagai,Satoru Nishizono,2007-02-15,2009-10-28,8.2,759,Naruto returns to Konoha after a two-and-a-half-year training journey with Jiraiya and is reunited with Sakura.
2,1,2,"""The Akatsuki Makes Its Move""Transcription: ""Akatsuki, Shidō"" (Japanese: 暁, 始動)",Atsushi Nigorikawa,Satoru Nishizono,2007-02-15,2009-10-28,8,596,"Kakashi gives Naruto and Sakura a test to see how far they had improved. Meanwhile, two Akatsuki members, Deidara and Sasori, arrive at the entrance of the Sunagakure to capture the One-Tailed Shukaku's host, Gaara."
3,1,3,"""The Results of Training""Transcription: ""Shugyō no Seika"" (Japanese: 修業の成果)",Yuki Sugihara,Satoru Nishizono,2007-02-22,2009-10-28,8,527,"Sakura and Naruto both demonstrate their newly acquired skills. Meanwhile, Deidara commences his attack on Sunagakure and is confronted by Gaara."
4,1,4,"""The Jinchuriki of the Sand""Transcription: ""Suna no Jinchūriki"" (Japanese: 砂の人柱力)",Kiyomu Fukuda,Satoru Nishizono,2007-03-01,2009-10-28,8.2,535,"Gaara is quick to detect Deidara's presence, and an aerial battle ensues with Deidara on his giant bird and Gaara atop sand."
5,1,5,"""The Kazekage Stands Tall""Transcription: ""Kazekage to shite...!"" (Japanese: 風影として...!)",Yuki Kinoshita,Satoru Nishizono,2007-03-15,2009-11-04,8.2,502,"Naruto and Sakura defeat Kakashi in the survival challenge. Tsunade assigns them to a three-man squad led by Kakashi, who tells them they are now his equals."
6,1,6,"""Mission Cleared""Transcription: ""Norumakuriā"" (Japanese: ノルマクリアー)",Mitsutaka Noshitani,Satoru Nishizono,2007-03-29,2009-11-11,8.2,497,"In order to protect his village from Deidara's explosive clay, Gaara uses his chakra to create a giant sand shield."
7,1,7,"""Run, Kankuro""Transcription: ""Hashire Kankurō"" (Japanese: .mw-parser-output ruby>rt{font-feature-settings:""ruby""1;font-size:85%}.mw-parser-output ruby.large{font-size:250%}.mw-parser-output ruby.large>rt{font-size:50%}疾走（はし）れカンクロウ)",Hayato Goda,Satoru Nishizono,2007-03-29,2009-11-18,7.8,472,"Gaara, his strength completely exhausted, is whisked away by Deidara. Kankuro ignores Baki's efforts to stop him and immediately sets out in pursuit with a platoon to rescue Gaara."
8,1,8,"""Team Kakashi, Deployed""Transcription: ""Shutsugeki, Kakashi-han"" (Japanese: 出撃, カカシ班)",Hiroshi Kimura,Satoru Nishizono,2007-04-12,2009-12-02,7.7,453,"On her way to the Sand Village, Temari encounters Kakashi and his team. Kakashi admonishes Naruto when he tries to rush ahead..."
9,1,9,"""The Jinchuriki's Tears""Transcription: ""Jinchūriki no Namida"" (Japanese: 人柱力の涙)",Masaaki Kumagai,Satoru Nishizono,2007-04-12,2009-12-09,7.6,450,An urgent message from the Sand Village detailing the Akatsuki's kidnapping of the Kazekage reaches the Hidden Leaf Village. Tsunade wastes no time in ordering Team Kakashi to the Sand Village.
10,1,10,"""Sealing Technique: Phantom Dragons Nine Consuming Seals""Transcription: ""Fūin Jutsu: Genryū Kyū Fūjin"" (Japanese: 封印術·幻龍九封尽)",Eitaro Ano,Satoru Nishizono,2007-04-19,2009-12-16,7.5,440,"The Sand ninja fight against time to treat Kankuro. Even the Sand's poison expert, Granny Chiyo, is baffled. The only hope lies with the reinforcements sent by Tsunade."
11,1,11,"""The Medical Ninja's Student""Transcription: ""Iryō Ninja no Deshi"" (Japanese: 医療忍者の弟子)",Atsushi Nigorikawa,Satoru Nishizono,2007-04-26,2009-12-23,7.7,442,"Sakura treats a critically ill Kankuro. After extensive training she's now a full-fledged Medic Ninja, and Sakura amazes everyone with her sure, steady hands."
12,1,12,"""The Retired Granny's Determination""Transcription: ""Inkyo Babā no Ketsui"" (Japanese: 隠居ババアの決意)",Kiyomu Fukuda,Satoru Nishizono,2007-05-03,2009-12-31,7.9,442,"Pakkun finds the hideout of the Akatsuki. Team Kakashi and Temari prepare to set out to get Gaara back, but Temari is ordered to stay behind and help guard the village."
13,1,13,"""A Meeting With Destiny""Transcription: ""Innen Aimamieru"" (Japanese: 因縁あいまみえる)",Neko Okuma,Satoru Nishizono,2007-05-10,2009-12-31,8.1,450,"Team Kakashi encounter Itachi Uchiha, who had dealt them a bitter defeat in the past. Kakashi warns everyone not to look into Itachi's Sharingan Eyes."
